Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
51.93,-10.25,1198,850.0,0.2,77,235,45
51.93,-10.25,2656,706.0,-9.7,38,235,52
51.93,-10.25,4361,563.0,-22.0,22,235,51
51.93,-10.25,5843,458.0,-34.7,71,225,45
51.93,-10.25,7305,370.0,-44.8,72,250,29
51.93,-10.25,8680,300.0,-51.9,3,240,43
51.93,-10.25,10649,221.0,-52.3,1,240,54
51.93,-10.25,13160,150.0,-51.1,1,240,58
51.93,-10.25,14505,122.0,-50.8,1,245,66
51.93,-10.25,17338,78.6,-54.3,1,255,54
51.93,-10.25,19874,53.0,-52.2,1,265,66
51.93,-10.25,21840,39.0,-55.5,1,265,70
51.93,-10.25,24116,27.3,-53.3,1,268,82
51.93,-10.25,26120,20.0,-51.1,1,270,97
51.93,-10.25,29799,11.4,-36.3,1,280,157
68.7,-52.85,1156,873.0,-23.5,83,235,15
68.7,-52.85,1989,779.0,-22.5,18,247,14
68.7,-52.85,3253,655.0,-27.5,57,275,20
68.7,-52.85,7303,361.0,-54.5,32,271,26
68.7,-52.85,9561,252.0,-63.9,38,260,31
68.7,-52.85,11360,188.0,-63.3,16,255,21
68.7,-52.85,13737,127.0,-69.7,30,258,23
68.7,-52.85,16096,91.0,-65.6,12,210,4
68.7,-52.85,21341,47.0,-46.8,1,165,10
68.7,-52.85,24320,30.0,-44.7,1,95,14
68.7,-52.85,27040,20.0,-41.5,1,105,19
68.7,-52.85,31094,11.1,-36.9,1,103,17
61.15,-45.43,13,1007.0,-6.3,35,33,4
61.15,-45.43,1420,841.0,-9.7,52,298,9
61.15,-45.43,2820,700.0,-17.3,8,295,27
61.15,-45.43,8650,300.0,-57.7,8,315,44
61.15,-45.43,9790,250.0,-61.3,29,305,61
61.15,-45.43,11815,180.0,-64.0,20,290,50
61.15,-45.43,15420,100.0,-65.1,18,275,45
61.15,-45.43,18908,56.0,-69.2,26,280,80
61.15,-45.43,21737,34.8,-74.7,33,267,113
61.15,-45.43,24501,21.9,-65.7,20,263,129
66.86,-162.63,569,931.0,-5.9,96,115,22
66.86,-162.63,1137,866.0,-5.3,100,135,13
66.86,-162.63,2422,734.0,-11.3,93,184,17
66.86,-162.63,3217,661.0,-17.3,77,166,15
66.86,-162.63,4877,527.3,-27.4,77,170,21
66.86,-162.63,6800,400.0,-44.1,51,170,22
66.86,-162.63,8690,300.0,-53.7,32,130,11
66.86,-162.63,9850,250.0,-56.3,18,195,19
66.86,-162.63,11260,200.0,-56.5,13,230,12
66.86,-162.63,13252,146.0,-56.1,8,242,24
66.86,-162.63,17559,74.2,-55.7,3,274,54
66.86,-162.63,20726,45.5,-46.3,2,285,76
66.86,-162.63,23470,30.2,-43.4,1,285,90
66.86,-162.63,26494,19.2,-43.1,1,300,106
66.86,-162.63,30940,10.0,-36.7,1,305,118
64.5,-165.43,305,959.3,-2.2,89,100,14
64.5,-165.43,1333,842.0,-5.7,93,72,12
64.5,-165.43,3297,652.0,-17.5,93,109,12
64.5,-165.43,4267,571.8,-24.1,62,140,18
64.5,-165.43,5486,482.1,-34.2,32,140,34
64.5,-165.43,7457,360.0,-49.9,23,131,22
64.5,-165.43,8693,298.0,-51.3,1,131,20
64.5,-165.43,9924,246.0,-54.7,1,135,16
64.5,-165.43,11260,200.0,-53.1,1,180,13
64.5,-165.43,12497,165.0,-53.8,1,240,14
64.5,-165.43,14492,121.0,-54.3,1,251,31
64.5,-165.43,18288,67.5,-49.7,1,275,63
64.5,-165.43,21336,42.6,-44.9,1,285,69
64.5,-165.43,23470,31.0,-44.4,1,285,78
64.5,-165.43,26026,21.2,-43.3,1,295,79
64.5,-165.43,28211,15.4,-36.9,1,305,93
60.78,-161.84,33,990.0,-1.9,97,70,3
60.78,-161.84,1219,853.2,-5.3,81,150,26
60.78,-161.84,2134,758.4,-10.4,58,160,22
60.78,-161.84,3471,636.0,-18.3,37,165,24
60.78,-161.84,4481,555.0,-21.5,20,202,29
60.78,-161.84,5680,470.0,-31.1,66,205,37
60.78,-161.84,8534,307.9,-54.7,58,230,51
60.78,-161.84,9635,259.0,-56.3,10,208,39
62.96,-155.61,103,990.0,-8.9,84,110,3
62.96,-155.61,610,928.0,0.0,74,145,8
62.96,-155.61,1524,827.2,-4.4,69,190,38
62.96,-155.61,2836,698.0,-15.3,83,166,29
62.96,-155.61,4096,589.0,-23.7,71,195,23
62.96,-155.61,5484,485.0,-34.9,54,205,25
62.96,-155.61,7262,374.0,-44.9,8,244,46
62.96,-155.61,9144,280.4,-51.7,3,225,31
62.96,-155.61,10279,235.0,-53.1,1,220,23
62.96,-155.61,11752,187.0,-53.3,1,220,27
62.96,-155.61,14139,129.0,-54.5,1,247,28
62.96,-155.61,16133,94.7,-51.3,1,267,37
62.96,-155.61,19507,56.1,-51.9,1,300,65
62.96,-155.61,22860,33.7,-45.9,1,305,71
62.96,-155.61,26217,20.4,-43.5,1,295,83
62.96,-155.61,27947,15.8,-40.7,1,312,90
62.96,-155.61,32279,8.4,-37.9,1,317,111
64.81,-147.88,305,967.6,-4.1,82,160,4
64.81,-147.88,914,896.5,-0.8,57,145,15
64.81,-147.88,2309,752.0,-8.3,78,200,22
64.81,-147.88,3838,615.0,-19.3,79,174,28
64.81,-147.88,5350,500.0,-28.1,67,180,38
64.81,-147.88,7759,352.0,-49.5,39,179,46
64.81,-147.88,9449,269.7,-58.9,33,180,37
64.81,-147.88,10668,222.5,-56.4,12,240,27
64.81,-147.88,12044,179.0,-55.9,6,234,30
64.81,-147.88,13869,134.0,-57.7,2,258,39
64.81,-147.88,16760,84.6,-58.1,1,277,52
64.81,-147.88,20726,45.3,-56.2,1,290,82
64.81,-147.88,23765,28.3,-47.9,1,310,118
64.81,-147.88,27250,16.7,-45.5,1,315,132
64.81,-147.88,30828,9.8,-39.5,1,321,144
